Grupo;Subgrupo;Categoria;Tipo
Receitas operacionais;Receita com vendas;Vendas de montagens comerciais e equiipamentos;Entrada
Receitas operacionais;Receita com serviços;Execução de Projetos Arquitetônicos;Entrada
Receitas operacionais;Receita com serviços;Execução de Obras Civis;Entrada
Receitas operacionais;Receita Financeiras;Comissão de Terceiros;Entrada
Receitas operacionais;Receita Financeiras;Juros Empréstimos Concedidos;Entrada
Receitas operacionais;Receita Financeiras;Estorno de Pagamentos;Entrada
Receitas operacionais;Receits Financeiras;Rendimentos de Aplicações;Entrada
Receitas operacionais;;Juros Recebidos;Entrada
Receitas operacionais;;Multas Recebidas;Entrada
Receitas operacionais;;Descontos Concedidos;Saída
Receitas operacionais;;Outras receitas;Entrada
Custos operacionais;Serviços Preliminares;Logística/Mobilização de início de obra;Saída
Custos operacionais;Serviços Preliminares;Instalações Provisórias de Canteiro;Saída
Custos operacionais;Serviços Preliminares;Tapume para fechamento de vãos;Saída
Custos operacionais;Serviços Preliminares;Plotagens e cópias;Saída
Custos operacionais;Serviços Preliminares;Placa de obra;Saída
Custos operacionais;Serviços Preliminares;ART e Fiscalização de Execução de Obra Civil;Saída
Custos operacionais;Serviços Preliminares;Seguro de Obra;Saída
Custos operacionais;Serviços Preliminares;Projetos Complementares e Respectivas ART's;Saída
Custos operacionais;Serviços Preliminares;Licenças e Taxas da Prefeitura;Saída
Custos operacionais;Demolições;Mão de Obra para Execução da Demolição;Saída
Custos operacionais;Demolições;Materiais para Execução de Demolição;Saída
Custos operacionais;Estruturas de Concreto e Metálicas - Alvenaria;Mão de Obra para Estrutura e Alvenaria;Saída
Custos operacionais;Estruturas de Concreto e Metálicas - Alvenaria;Materiais para Execução - Estrutura e Alvenaria;Saída
Custos operacionais;Instalação Prevenção e Combate a Incêndio;Mão de Obra Prevenção e Combate a Incêndio;Saída
Custos operacionais;Instalação Prevenção e Combate a Incêndio;Materiais para Prevenção e Combate a Incêndio;Saída
Custos operacionais;Instalação de Ar Condicionado;Material para Ar Condicionado;Saída
Custos operacionais;Instalação de Ar Condicionado;Dutos para ar condicionado;Saída
Custos operacionais;Instalação de Ar Condicionado;Aparelhos de Ar Condicionado;Saída
Custos operacionais;Instalação de Ar Condicionado;Mão de Obra - Ar Condicionado;Saída
Custos operacionais;Instalação de Aquecimento de Água / Gás;Mão de Obra Aquecimento Água/Gás;Saída
Custos operacionais;Instalação de Aquecimento de Água / Gás;Materiais para Aquecimento de Água e Gás;Saída
Custos operacionais;Instalação Elétrica;Mão de Obra Elétrica;Saída
Custos operacionais;Instalação Elétrica;Quadros Elétricos;Saída
Custos operacionais;Instalação Elétrica;Luminotécnico;Saída
Custos operacionais;Instalação Elétrica;Materiais Diversos de Elétrica;Saída
Custos operacionais;Instalação Hidraúlica e Sanitária;Mão de Obra Hidráulica;Saída
Custos operacionais;Instalação Hidraúlica e Sanitária;Materiais Diversos de Hidráulica;Saída
Custos operacionais;Pisos e Revestimentos Cerâmicos;Mão de Obra Piso e Revest.;Saída
Custos operacionais;Pisos e Revestimentos Cerâmicos;Pisos;Saída
Custos operacionais;Pisos e Revestimentos Cerâmicos;Revestimentos;Saída
